Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2020-12-21,-0.23,0.23,-0.05,-1.02,0.32,0
2020-12-22,0.06,0.84,-1.61,-0.84,-0.07,0
2020-12-23,0.1,0.87,2.03,0.29,0.41,0
2020-12-24,0.21,-0.44,-0.19,0.25,-0.08,0
2020-12-28,0.46,-0.68,0.36,1.39,0.46,0
2020-12-29,-0.4,-1.42,0.24,0.78,-0.29,0
2020-12-30,0.27,1.06,0.03,-0.65,-0.05,0
2020-12-31,0.39,-0.71,0.41,0.56,-0.24,0
2021-01-04,-1.41,0.16,0.58,-0.64,0.1,0
2021-01-05,0.86,1.31,0.48,0.36,0.55,0
2021-01-06,0.79,3.15,3.93,0.06,0.53,0
2021-01-07,1.76,0.02,-0.83,-1.5,-0.2,0
2021-01-08,0.51,-1.01,-1.38,-0.43,-0.37,0
2021-01-11,-0.51,0.54,1.26,-0.17,0.45,0
2021-01-12,0.38,1.48,1.21,-0.45,0.42,0
2021-01-13,0.07,-1.02,-0.45,-0.22,-0.05,0
2021-01-14,-0.11,2.37,1.11,-1.01,0.43,0
2021-01-15,-0.86,-0.74,-0.76,0.27,-0.47,0
2021-01-19,0.92,0.75,-0.8,-0.7,0.09,0
2021-01-20,1.26,-0.75,-1.08,0.63,-0.38,0
2021-01-21,-0.04,-0.77,-0.94,0.84,0.38,0
2021-01-22,-0.07,1.64,-0.12,-0.67,0.63,0
2021-01-25,0.29,-0.28,-0.41,0.23,0.98,0
2021-01-26,-0.32,-0.02,0.01,1.01,1.06,0
2021-01-27,-2.53,1.19,1.55,0.59,2.46,0
2021-01-28,0.92,-1.69,-0.91,-1.06,-2.26,0
2021-01-29,-1.84,0.41,0.58,-0.75,0.38,0
2021-02-01,1.73,0.74,-1.47,-0.23,-1.22,0
2021-02-02,1.48,-0.79,-1.08,-1.02,-2.14,0
2021-02-03,0.15,0.68,0.7,-0.12,0.16,0
2021-02-04,1.23,0.6,0.37,-0.09,-0.22,0
2021-02-05,0.58,0.94,-0.47,-0.73,0.41,0
2021-02-08,0.96,2.25,0.39,-0.94,0.73,0
2021-02-09,0.05,0.7,-0.17,-0.73,-0.49,0
2021-02-10,-0.08,-0.44,0.64,0.19,-0.03,0
2021-02-11,0.19,-0.35,-0.43,-0.29,-0.08,0
2021-02-12,0.49,-0.13,0.49,-0.37,-0.05,0
2021-02-16,-0.14,-0.24,1.88,0.15,0,0
2021-02-17,-0.21,-0.68,0.61,0.29,-0.14,0
2021-02-18,-0.63,-1.47,-0.19,0.91,-0.45,0
2021-02-19,0.16,2.04,0.71,-0.44,0.55,0
2021-02-22,-1.13,0.72,3.16,1.7,0.86,0
2021-02-23,-0.15,-1.03,0.9,1.16,-0.21,0
2021-02-24,1.15,1.49,1.4,-0.3,0.33,0
2021-02-25,-2.74,-0.92,0.92,0.99,0.42,0
2021-02-26,-0.28,0.34,-1.57,-0.05,-0.37,0
2021-03-01,2.63,1.11,0.23,-0.41,0.23,0
2021-03-02,-1.05,-0.77,1.24,0.62,0.2,0
2021-03-03,-1.57,0.64,3.57,1.67,1.05,0
2021-03-04,-1.7,-1.11,1.71,1.29,0.44,0
2021-03-05,1.85,0.36,0.62,0.97,0.51,0
2021-03-08,-0.67,1.47,3.7,1.63,0.88,0
2021-03-09,1.79,0.45,-3.24,-1.87,-0.46,0
2021-03-10,0.68,1.19,1.82,-0.07,0.14,0
2021-03-11,1.44,1.09,-2.02,-1.42,-0.8,0
2021-03-12,0.1,0.52,1.3,0.64,0.59,0
2021-03-15,0.7,-0.33,-1.29,0.21,0.08,0
2021-03-16,-0.43,-1.36,-0.83,0.31,-0.02,0
2021-03-17,0.33,0.65,0.33,-0.05,0.15,0
2021-03-18,-1.88,-1.22,2.18,0.96,0.45,0
2021-03-19,0.25,0.93,-0.99,-0.8,-0.54,0
2021-03-22,0.55,-1.7,-2.21,-0.25,-0.09,0
2021-03-23,-1.17,-2.95,-1.04,0.58,-0.79,0
2021-03-24,-1.01,-1.58,1.47,1.39,0.11,0
2021-03-25,0.67,2.01,1.39,0.46,1.12,0
2021-03-26,1.55,0.19,0.69,0.79,0.57,0
2021-03-29,-0.49,-2.49,-0.23,0.91,-0.01,0
2021-03-30,-0.02,1.83,1,-0.25,-0.2,0
2021-03-31,0.63,0.59,-2.33,-1.2,-0.25,0
2021-04-01,1.27,0.21,0,-0.68,-0.51,0
2021-04-05,1.27,-0.7,-0.71,1,0.09,0
2021-04-06,0.01,-0.32,0.1,-0.11,-0.28,0
2021-04-07,-0.12,-1.54,0.32,0.7,-0.11,0
2021-04-08,0.62,0.26,-1.16,-0.55,-0.38,0
2021-04-09,0.65,-0.62,0.14,0.8,0.13,0
2021-04-12,-0.05,-0.47,0.58,0.74,-0.34,0
2021-04-13,0.41,-0.77,-1.61,-1.09,-0.37,0
2021-04-14,-0.35,1.17,1.41,0.02,0.68,0
2021-04-15,1.04,-0.79,-1.19,0.1,-0.53,0
2021-04-16,0.27,-0.19,0.65,0.84,0.17,0
2021-04-19,-0.73,-0.66,0.79,0.72,0.41,0
2021-04-20,-0.94,-1.37,-1.56,0.38,-0.48,0
2021-04-21,1.11,1.54,0.1,-0.47,0.1,0
2021-04-22,-0.77,0.64,-0.76,-0.19,-0.21,0
2021-04-23,1.26,0.76,0.7,-0.34,0.05,0
2021-04-26,0.43,0.8,-0.5,-1.22,-0.05,0
2021-04-27,-0.03,0.08,0.84,0.53,0.05,0
2021-04-28,-0.06,0.29,0.19,-0.31,-0.33,0
2021-04-29,0.39,-0.77,1.09,1.35,-0.24,0
2021-04-30,-0.83,-0.51,-0.32,0.14,-0.43,0
2021-05-03,0.17,0.72,1.7,1.1,1.07,0
2021-05-04,-0.89,-0.25,2,1.1,0.58,0
2021-05-05,-0.06,-0.16,1.34,0.66,0.62,0
2021-05-06,0.48,-0.54,1.2,1.24,0.59,0
2021-05-07,0.84,0.45,-0.09,-0.24,0.14,0
2021-05-10,-1.36,-1.29,1.7,1.17,0.73,0
2021-05-11,-0.63,0.7,-0.89,-0.84,-0.07,0
2021-05-12,-2.34,-1.15,0.71,-0.27,0.13,0
2021-05-13,1.02,0.47,1.14,1.4,0.36,0
2021-05-14,1.81,0.96,-0.15,-0.25,-0.01,0
2021-05-17,-0.24,0.73,0.83,0.01,0.56,0
